ID,First Name,Last Name,Gender,Marital Status,Time Left,Works Here,Birthday,Children,Academic Background,Date Hired,Working Experience,Number of prev. Employers,Salary,Department,Job Title,Recruiter,Recruiter ID
7b89296c-6dcb-4c50-8857-7eb1924770d3,Anthony,Weaver,M,Single,0,True,1993-05-03,1,Bachelor,2017-09-16,5,1,19398,Technology,Database Administrator,Jacqueline Brock,2f34c2a4-e705-49b1-9823-5ed583eae83e
e8d79f49-af6d-414c-8a6f-188a424e617b,Anthony,Walker,M,Married,0,True,1993-01-15,1,Bachelor,2018-01-13,5,2,18305,Finance,Credit Risk Manager,Michael Robertson,545c10b7-eb4d-4a28-a1a6-e4dc0b46adec
4dad2986-ce83-4960-aa06-e9ab85a0bcc1,Keith,Smith,M,Single,0,True,1995-02-07,1,MSc,2018-06-21,2,0,10835,Strategy,CEO,Cindy Stewart,de404e1c-89fd-4b3f-8eb7-ae2ff7179bf4
c963cfe0-afae-4a3b-b909-6a04e7d80068,Victoria,Heath,M,Single,0,True,1986-12-02,1,Bachelor,2017-02-16,11,3,15105,Finance,Financial Analyst,Jimmy Swanson,733611da-7593-4e8d-baa0-c8cd4792c102
4a37fa2d-f2d7-440f-8785-9faeecc3f80c,Sharon,Henderson,F,Married,0,True,1994-03-28,1,Bachelor,2017-01-02,5,1,14899,Product,Product Brand Associate,Philip Valdez,e196c200-0586-472b-a38c-42f37c7e8b31
9530fcd9-d6fd-4d9b-a203-2801b65c1c28,Maria,Santiago,F,Married,0,True,2000-12-14,0,High School,2019-05-05,2,1,11057,Finance,Credit Risk Analyst,Jonathan Smith,6fa1613c-9abe-4dfb-a8b9-1d6b6350b8db
8bb01460-217f-471c-be0a-e8fa1ceac2cc,Austin,Sanchez,F,Single,0,True,1994-01-25,0,MSc,2018-03-06,3,1,15711,Legal,Legal Research Analyst,Norman Pena,b9f2f580-0a55-4241-8079-70d8d0185b2d
2507759b-36af-471e-ad2e-f1c113d1e9e3,Nicholas,Gonzales,F,Married,0,True,1993-01-14,1,MSc,2019-12-05,3,1,18031,Finance,Finance Manager,Timothy Rogers,8988edb8-bf4c-4c38-9665-c2e24d9a7096
07158ab7-95f3-4183-9b69-13cd87684f34,Abigail,Long,M,Married,0,True,1996-06-25,1,MSc,2019-11-20,1,0,10538,Strategy,CEO,Tracy Johnson,21b8c26b-c023-43ab-95da-cb8f8c773fe6
c12776e4-6dd4-41b2-abce-fab3a3b48c4a,Phillip,Jackson,M,Single,0,True,1992-12-19,1,MSc,2018-07-23,4,1,13322,Legal,Attorney General,Tina Frank,4b9458a7-0201-4a72-826a-5621c7ae467e
5d357ffe-4423-460d-9b0e-da407f5e8e61,Brian,Berg,F,Single,0,True,1999-06-23,1,High School,2018-09-15,3,1,11411,Strategy,Business Strategy Manager,Travis Jacobson,8b02356f-7937-4ef0-bc8b-075de6bfa196
9cecdeee-a156-4927-9ff6-3c0179e58218,Daniel,Weber,F,Single,0,True,1995-01-07,0,Bachelor,2017-08-18,4,1,13337,Legal,Patent Attorney,Tammy Hutchinson,d1f36a09-9d74-4646-b388-d25833183edb
b08969ee-f0d8-45e3-b763-c84ebdde03f1,Jennifer,Gibson,F,Married,0,True,1982-10-17,1,Bachelor,2011-01-29,15,3,18026,Strategy,Business Planner,Ashley Lyons,e7662d7e-2c73-49ca-8d26-015663655b6f
b3fb08f3-4b48-438b-9e51-a921e8e6a305,Andrew,Hughes,F,Single,0,True,1982-08-19,1,Bachelor,2017-01-07,14,4,23169,Technology,Software Engineer,Anthony King,0ef123aa-6178-4a4a-b477-bb5ffee5d914
cc73abe9-9eba-409f-822a-87dc52e17fd9,Robert,Lopez,M,Married,0,True,1996-12-10,1,Bachelor,2019-08-12,3,1,11262,Technology,Information Security Manager,Edward Bennett,f4e14e75-4ea2-44f5-a854-3d8871dfd962
63bf9de9-f33f-4a58-b698-0fbe5edcccc1,Dwayne,Higgins,F,Single,0,True,1992-02-15,1,MSc,2019-08-24,4,2,16800,Legal,Resolution Specialist,Curtis Bartlett,a4af29b2-a01e-47a2-9fa3-2973ab66a5ec
4cdac1b3-1894-45b6-b00a-65ccd081a3d4,Erika,Stephens,F,Single,0,True,1993-11-09,1,MSc,2017-05-16,4,1,16740,Legal,Patent Attorney,Kristen Murray,6281b7e8-e94e-4ae7-b3ee-e3b910698a62
b406dd29-9b57-4d64-8490-5c0914c25b99,Johnny,Smith,F,Married,0,True,1990-08-08,2,PhD,2017-05-20,3,0,13661,Technology,Information Security Manager,Timothy Rogers,8988edb8-bf4c-4c38-9665-c2e24d9a7096
ac6289f7-e85a-4ee9-908d-be225edf44c0,Jamie,Craig,F,Married,0,True,1999-02-06,0,High School,2019-06-04,3,1,11266,Finance,Credit Risk Manager,Julia Suarez,d0d8ece0-c157-4a68-830d-b0e1a515f04f
